metric_name,treatment_a,treatment_b,ci_low,ci_high,alpha,achieved_alpha,method,n_pairs
max_slowdown,a2c__mask_false,maskable_ppo__mask_true,1.600000,196033.000000,0.050000,0.048828,exact,10
max_slowdown,a2c__mask_false,ppo__mask_false,0.000000,196055.150000,0.050000,0.048828,exact,10
max_slowdown,dqn__mask_false,maskable_a2c__mask_true,-24152471.612963,90417.274074,0.050000,0.048828,exact,10
max_slowdown,dqn__mask_false,maskable_dqn__mask_true,-1615421.300000,-145551.383334,0.050000,0.048828,exact,10
max_slowdown,dqn__mask_false,maskable_ppo__mask_true,3.850000,1216592.750000,0.050000,0.048828,exact,10
max_slowdown,dqn__mask_false,ppo__mask_false,0.000000,1216552.100000,0.050000,0.048828,exact,10
max_slowdown,maskable_a2c__mask_true,maskable_dqn__mask_true,-1606948.000000,22948580.650000,0.050000,0.048828,exact,10
max_slowdown,maskable_a2c__mask_true,maskable_ppo__mask_true,-23.200000,25414246.350000,0.050000,0.048828,exact,10
max_slowdown,maskable_a2c__mask_true,ppo__mask_false,-34.300000,25414203.900000,0.050000,0.048828,exact,10
max_slowdown,maskable_dqn__mask_true,maskable_ppo__mask_true,348461.400000,1951913.158333,0.050000,0.048828,exact,10
max_slowdown,maskable_dqn__mask_true,ppo__mask_false,348467.250000,1951909.308334,0.050000,0.048828,exact,10
max_slowdown,maskable_ppo__mask_true,ppo__mask_false,-74.700000,12.100000,0.050000,0.048828,exact,10
avg_turnaround,a2c__mask_false,dqn__mask_false,-81535.596866,6658.977664,0.050000,0.048828,exact,10
avg_turnaround,a2c__mask_false,maskable_a2c__mask_true,-122511401.212249,-96.470859,0.050000,0.048828,exact,10
avg_turnaround,a2c__mask_false,maskable_dqn__mask_true,-72445.141930,-10808.614224,0.050000,0.048828,exact,10
avg_turnaround,a2c__mask_false,maskable_ppo__mask_true,-193.434764,17166.297435,0.050000,0.048828,exact,10
avg_turnaround,a2c__mask_false,ppo__mask_false,-33.398663,17334.603079,0.050000,0.048828,exact,10
avg_turnaround,dqn__mask_false,maskable_a2c__mask_true,-122500487.137181,346.473527,0.050000,0.048828,exact,10
avg_turnaround,dqn__mask_false,maskable_dqn__mask_true,-73100.274921,17845.219408,0.050000,0.048828,exact,10
avg_turnaround,dqn__mask_false,maskable_ppo__mask_true,-186.337997,81381.690011,0.050000,0.048828,exact,10
avg_turnaround,dqn__mask_false,ppo__mask_false,-20.153549,81543.003870,0.050000,0.048828,exact,10
avg_turnaround,maskable_a2c__mask_true,maskable_dqn__mask_true,-47940.960335,122424827.172969,0.050000,0.048828,exact,10
avg_turnaround,maskable_a2c__mask_true,maskable_ppo__mask_true,-16.343734,122511247.578538,0.050000,0.048828,exact,10
avg_turnaround,maskable_a2c__mask_true,ppo__mask_false,142.747162,122511420.893196,0.050000,0.048828,exact,10
avg_turnaround,maskable_dqn__mask_true,maskable_ppo__mask_true,10662.030923,74170.494751,0.050000,0.048828,exact,10
avg_turnaround,maskable_dqn__mask_true,ppo__mask_false,10844.909491,74356.783331,0.050000,0.048828,exact,10
avg_turnaround,maskable_ppo__mask_true,ppo__mask_false,150.907656,191.004385,0.050000,0.048828,exact,10
