metric_name,treatment_a,treatment_b,mean_rank_a,mean_rank_b,rank_diff,p_value,significant
avg_turnaround,a2c__mask_false,dqn__mask_false,2.000000,2.600000,-0.600000,0.979939,False
avg_turnaround,a2c__mask_false,maskable_a2c__mask_true,2.000000,4.400000,-2.400000,0.047403,True
avg_turnaround,a2c__mask_false,maskable_dqn__mask_true,2.000000,5.700000,-3.700000,0.000142,True
avg_turnaround,a2c__mask_false,maskable_ppo__mask_true,2.000000,4.100000,-2.100000,0.121073,False
avg_turnaround,a2c__mask_false,ppo__mask_false,2.000000,2.200000,-0.200000,0.999894,False
avg_turnaround,dqn__mask_false,maskable_a2c__mask_true,2.600000,4.400000,-1.800000,0.260953,False
avg_turnaround,dqn__mask_false,maskable_dqn__mask_true,2.600000,5.700000,-3.100000,0.002897,True
avg_turnaround,dqn__mask_false,maskable_ppo__mask_true,2.600000,4.100000,-1.500000,0.470338,False
avg_turnaround,dqn__mask_false,ppo__mask_false,2.600000,2.200000,0.400000,0.996916,False
avg_turnaround,maskable_a2c__mask_true,maskable_dqn__mask_true,4.400000,5.700000,-1.300000,0.629168,False
avg_turnaround,maskable_a2c__mask_true,maskable_ppo__mask_true,4.400000,4.100000,0.300000,0.999227,False
avg_turnaround,maskable_a2c__mask_true,ppo__mask_false,4.400000,2.200000,2.200000,0.090215,False
avg_turnaround,maskable_dqn__mask_true,maskable_ppo__mask_true,5.700000,4.100000,1.600000,0.394405,False
avg_turnaround,maskable_dqn__mask_true,ppo__mask_false,5.700000,2.200000,3.500000,0.000412,True
avg_turnaround,maskable_ppo__mask_true,ppo__mask_false,4.100000,2.200000,1.900000,0.205990,False
cpu_utilization,a2c__mask_false,dqn__mask_false,4.600000,4.100000,0.500000,0.991226,False
cpu_utilization,a2c__mask_false,maskable_a2c__mask_true,4.600000,2.400000,2.200000,0.090215,False
cpu_utilization,a2c__mask_false,maskable_dqn__mask_true,4.600000,4.800000,-0.200000,0.999894,False
cpu_utilization,a2c__mask_false,maskable_ppo__mask_true,4.600000,1.500000,3.100000,0.002897,True
cpu_utilization,a2c__mask_false,ppo__mask_false,4.600000,3.600000,1.000000,0.839370,False
cpu_utilization,dqn__mask_false,maskable_a2c__mask_true,4.100000,2.400000,1.700000,0.324066,False
cpu_utilization,dqn__mask_false,maskable_dqn__mask_true,4.100000,4.800000,-0.700000,0.960722,False
cpu_utilization,dqn__mask_false,maskable_ppo__mask_true,4.100000,1.500000,2.600000,0.023199,True
