Algorithm,Train (h),Runs,Eval (s),Eval Ratio,Latency (ms)
MaskablePPO,**1.23 ± 0.02**,10,629,13×,4.97
MaskableDQN,1.73 ± 0.02,10,**352**,7×,**0.67**
MaskableA2C,1.45 ± 0.27,10,"1,202",25×,5.06
PPO†,1.26 ± 0.25,10,"4,542",94×,4.74
DQN†,1.71 ± 0.02,10,"2,509",52×,1.08
A2C†,1.61 ± 0.29,10,"5,022",104×,4.89
