Algorithm,Mean Rank,Median,Mean,p vs. best
MaskablePPO,**1.7**,"2,242","2,243",---
MaskableA2C,1.9,"2,212","2,223",1.000
A2C†,4.1,"2,923","5,500",0.047*
MaskableDQN,4.4,"5,008","4,474",0.016*
PPO†,4.4,"8,623","8,470",0.016*
DQN†,4.5,"4,429","6,229",0.011*
