treatment_id,algorithm,use_masking,seed,split_id,episode_reward_mean,episode_reward_std,max_waiting_mean,max_waiting_std,avg_waiting_mean,avg_waiting_std,max_slowdown_mean,max_slowdown_std,avg_slowdown_mean,avg_slowdown_std,avg_turnaround_mean,avg_turnaround_std,cpu_utilization_mean,cpu_utilization_std,gpu_utilization_mean,gpu_utilization_std,decision_count_mean,decision_count_std,decision_latency_mean_ms_mean,decision_latency_mean_ms_std,eval_wall_s_mean,eval_wall_s_std
maskable_a2c__mask_true,maskable_a2c,True,35474,physical_job_r70,-173.793342,,72834.000000,,2275.159779,,3033.181818,,7.549748,,11017.068173,,0.105730,,0.000000,,75685.000000,,24.132069,,2745.836757,
maskable_a2c__mask_true,maskable_a2c,True,45765,physical_job_r70,-138.247929,,34189.000000,,2291.296108,,2902.272727,,7.413189,,11033.204503,,0.105742,,0.000000,,73988.000000,,23.423970,,2673.831815,
maskable_a2c__mask_true,maskable_a2c,True,57434,physical_job_r70,-179.893722,,62249.000000,,2241.842089,,2992.909091,,7.584304,,10983.750484,,0.105718,,0.000000,,81032.000000,,23.564572,,2839.277748,
maskable_a2c__mask_true,maskable_a2c,True,170797,physical_job_r70,-125.819789,,33826.000000,,2218.355299,,2932.818182,,7.230918,,10960.263694,,0.105746,,0.000000,,72631.000000,,20.202211,,2419.576153,
maskable_a2c__mask_true,maskable_a2c,True,210169,physical_job_r70,-156.302415,,33364.000000,,2187.131626,,2948.090909,,7.273875,,10929.040021,,0.105746,,0.000000,,72606.000000,,21.742849,,2471.196431,
maskable_a2c__mask_true,maskable_a2c,True,250564,physical_job_r70,-163.226345,,63851.000000,,2189.080857,,2906.454545,,7.276649,,10930.989252,,0.105732,,0.000000,,72622.000000,,19.298528,,2325.210587,
maskable_dqn__mask_true,maskable_dqn,True,16843,physical_job_r70,-1202.202937,,2583245.000000,,2926.212449,,237066.400000,,36.492372,,11668.120844,,0.101465,,0.000000,,91444.000000,,2.768999,,1389.381336,
maskable_dqn__mask_true,maskable_dqn,True,20603,physical_job_r70,-2416.504006,,2902110.000000,,4591.794037,,282986.300000,,131.110242,,13333.702431,,0.091972,,0.000000,,92027.000000,,2.762078,,1432.165713,
maskable_dqn__mask_true,maskable_dqn,True,21095,physical_job_r70,-924.484813,,302681.000000,,2523.638809,,30268.400000,,7.222942,,11265.547203,,0.105757,,0.000000,,88522.000000,,2.764845,,1212.676604,
maskable_dqn__mask_true,maskable_dqn,True,21385,physical_job_r70,-4279.835051,,3368482.000000,,6794.308877,,284594.000000,,218.391721,,15536.217272,,0.090790,,0.000000,,92871.000000,,2.730231,,1544.848108,
maskable_dqn__mask_true,maskable_dqn,True,35474,physical_job_r70,-2527.666637,,2578492.000000,,5424.117822,,250164.900000,,189.625741,,14166.026217,,0.101622,,0.000000,,92606.000000,,2.770662,,1508.261179,
maskable_dqn__mask_true,maskable_dqn,True,45765,physical_job_r70,-885.468772,,180760.000000,,2970.938381,,14210.100000,,38.256185,,11712.846776,,0.105745,,0.000000,,89838.000000,,2.772631,,1384.444552,
maskable_dqn__mask_true,maskable_dqn,True,57434,physical_job_r70,-616.248455,,122436.000000,,2136.345519,,11208.100000,,16.268895,,10878.253914,,0.105757,,0.000000,,89305.000000,,2.766866,,1347.282448,
maskable_dqn__mask_true,maskable_dqn,True,170797,physical_job_r70,-3615.240136,,3116174.000000,,5552.768771,,309226.900000,,194.294681,,14294.677166,,0.086545,,0.000000,,92346.000000,,2.776707,,1502.759500,
maskable_dqn__mask_true,maskable_dqn,True,210169,physical_job_r70,-3264.480668,,2827675.000000,,5871.285971,,263701.800000,,120.041268,,14613.194366,,0.093617,,0.000000,,92358.000000,,2.768241,,1495.955467,
maskable_dqn__mask_true,maskable_dqn,True,250564,physical_job_r70,-3999.244360,,2677891.000000,,5952.641729,,253578.600000,,212.153490,,14694.550124,,0.098451,,0.000000,,92495.000000,,2.777361,,1519.320822,
maskable_ppo__mask_true,maskable_ppo,True,16843,physical_job_r70,-152.473650,,71005.000000,,2192.335892,,2919.000000,,7.242823,,10934.244286,,0.105743,,0.000000,,73697.000000,,20.782245,,2454.181065,
maskable_ppo__mask_true,maskable_ppo,True,20603,physical_job_r70,-172.257435,,74403.000000,,2236.717866,,2934.000000,,7.341625,,10978.626261,,0.105744,,0.000000,,75448.000000,,22.436497,,2594.008169,
maskable_ppo__mask_true,maskable_ppo,True,21095,physical_job_r70,-157.866590,,71342.000000,,2248.263219,,2979.363636,,7.405622,,10990.171613,,0.105731,,0.000000,,72745.000000,,24.576270,,2731.913764,
maskable_ppo__mask_true,maskable_ppo,True,21385,physical_job_r70,-167.797125,,63851.000000,,2314.071094,,2870.909091,,7.285610,,11055.979489,,0.105762,,0.000000,,76069.000000,,20.218023,,2465.881440,
maskable_ppo__mask_true,maskable_ppo,True,35474,physical_job_r70,-204.009797,0.000000,57480.000000,0.000000,2268.570635,0.000000,2993.272727,0.000000,8.101509,0.000000,11010.479030,0.000000,0.105745,0.000000,0.000000,0.000000,86260.000000,0.000000,20.049710,0.323554,2726.466949,27.710854
maskable_ppo__mask_true,maskable_ppo,True,45765,physical_job_r70,-180.077023,,80965.000000,,2290.218121,,2885.636364,,7.406123,,11032.126515,,0.105748,,0.000000,,81304.000000,,24.780781,,2979.801623,
maskable_ppo__mask_true,maskable_ppo,True,57434,physical_job_r70,-164.546289,,65887.000000,,2225.509848,,2892.000000,,7.301184,,10967.418243,,0.105743,,0.000000,,76304.000000,,22.186274,,2614.121555,
maskable_ppo__mask_true,maskable_ppo,True,170797,physical_job_r70,-130.869618,,33018.000000,,2206.036931,,2934.000000,,7.328925,,10947.945326,,0.105738,,0.000000,,73323.000000,,19.915797,,2413.639946,
maskable_ppo__mask_true,maskable_ppo,True,210169,physical_job_r70,-326.882825,,105765.000000,,2190.831511,,2858.909091,,8.159106,,10932.739906,,0.105750,,0.000000,,87138.000000,,25.086795,,3189.496689,
maskable_ppo__mask_true,maskable_ppo,True,250564,physical_job_r70,-160.186794,,67544.000000,,2258.124342,,2909.181818,,7.301599,,11000.032737,,0.105750,,0.000000,,72684.000000,,23.111412,,2597.665938,
ppo__mask_false,ppo,False,16843,physical_job_r70,-805392.213168,,63993.000000,,2063.962901,,2798.500000,,5.706110,,10597.357546,,0.095683,,0.000000,,591455.000000,,26.237239,,24460.766586,
ppo__mask_false,ppo,False,20603,physical_job_r70,-807279.992289,,32818.000000,,2241.202377,,3241.300000,,8.853482,,10829.874107,,0.097088,,0.000000,,591565.000000,,19.051123,,16905.580885,
ppo__mask_false,ppo,False,21095,physical_job_r70,-811648.864610,,49481.000000,,14323.602775,,4522.500000,,239.655330,,22900.664033,,0.096296,,0.000000,,590963.000000,,21.609812,,17518.171180,
ppo__mask_false,ppo,False,21385,physical_job_r70,-812063.558362,,49481.000000,,14317.021357,,4522.500000,,239.545673,,22890.240666,,0.096296,,0.000000,,590994.000000,,23.773238,,18461.152783,
ppo__mask_false,ppo,False,35474,physical_job_r70,-811649.627310,,49481.000000,,14324.334417,,4522.500000,,239.667521,,22901.822788,,0.096296,,0.000000,,590960.000000,,23.428804,,18674.845650,
ppo__mask_false,ppo,False,45765,physical_job_r70,-805685.877337,,31397.000000,,2923.586414,,3092.700000,,12.864994,,11529.604883,,0.097086,,0.000000,,591342.000000,,30.366755,,25376.312167,
ppo__mask_false,ppo,False,57434,physical_job_r70,-811703.923549,,49481.000000,,14321.652095,,4522.500000,,239.622829,,22897.574758,,0.096296,,0.000000,,590972.000000,,21.966574,,17620.841289,
ppo__mask_false,ppo,False,170797,physical_job_r70,-806631.309076,,31397.000000,,2921.988935,,3092.700000,,12.858511,,11523.429957,,0.097086,,0.000000,,591390.000000,,25.911545,,23996.890960,
ppo__mask_false,ppo,False,210169,physical_job_r70,-811421.084012,,49481.000000,,14328.969887,,4522.500000,,239.744755,,22909.164904,,0.096296,,0.000000,,590938.000000,,27.184937,,21171.883695,
ppo__mask_false,ppo,False,250564,physical_job_r70,-809915.502770,,69923.000000,,2928.860110,,5765.100000,,14.814072,,11670.786429,,0.105696,,0.000000,,591870.000000,,19.612527,,14230.529768,
