treatment_id,algorithm,use_masking,seed,split_id,episode_reward_mean,episode_reward_std,max_waiting_mean,max_waiting_std,avg_waiting_mean,avg_waiting_std,max_slowdown_mean,max_slowdown_std,avg_slowdown_mean,avg_slowdown_std,avg_turnaround_mean,avg_turnaround_std,cpu_utilization_mean,cpu_utilization_std,gpu_utilization_mean,gpu_utilization_std,decision_count_mean,decision_count_std,decision_latency_mean_ms_mean,decision_latency_mean_ms_std,eval_wall_s_mean,eval_wall_s_std
maskable_a2c__mask_true,maskable_a2c,True,35474,deeplearn_job_r70,-68715181.653290,,511035944.000000,,245023362.933103,,50830755.600000,,6700314.045179,,245033929.853734,,0.006606,,0.014717,,529145.000000,,4.778952,,5628.410134,
maskable_a2c__mask_true,maskable_a2c,True,45765,deeplearn_job_r70,-41.774701,,31052.000000,,848.333569,,2237.700000,,3.612115,,11415.254199,,0.117236,,0.261173,,84581.000000,,6.276617,,747.251433,
maskable_a2c__mask_true,maskable_a2c,True,57434,deeplearn_job_r70,-39.118265,,31513.000000,,831.251642,,2290.900000,,3.634366,,11398.172273,,0.117236,,0.261173,,84508.000000,,4.871685,,616.835956,
maskable_a2c__mask_true,maskable_a2c,True,170797,deeplearn_job_r70,-39.422909,,31617.000000,,844.652628,,2234.000000,,3.603708,,11411.573258,,0.117236,,0.261173,,84520.000000,,4.991824,,633.637148,
maskable_a2c__mask_true,maskable_a2c,True,210169,deeplearn_job_r70,-27391.134753,,5592648.000000,,178567.951251,,440527.400000,,4128.194047,,189134.871882,,0.115192,,0.256619,,120620.000000,,4.891771,,1259.499627,
maskable_a2c__mask_true,maskable_a2c,True,250564,deeplearn_job_r70,-40.785350,,31218.000000,,838.137806,,2349.400000,,3.709877,,11405.058436,,0.117236,,0.261173,,84489.000000,,5.364614,,660.914245,
maskable_dqn__mask_true,maskable_dqn,True,16843,deeplearn_job_r70,-258756.539444,,29650729.000000,,37083.772909,,1362540.700000,,608.675992,,47650.693539,,0.108773,,0.242320,,121095.000000,,0.665898,,345.073536,
maskable_dqn__mask_true,maskable_dqn,True,20603,deeplearn_job_r70,-99375.506164,,14664649.000000,,5334.383939,,245883.166667,,48.901894,,15901.304569,,0.116802,,0.260205,,120662.000000,,0.656702,,246.525525,
maskable_dqn__mask_true,maskable_dqn,True,21095,deeplearn_job_r70,-41772.376584,,19484326.000000,,92220.008856,,651714.900000,,1962.021653,,102786.929486,,0.108486,,0.241679,,120221.000000,,0.676278,,493.855576,
maskable_dqn__mask_true,maskable_dqn,True,21385,deeplearn_job_r70,-217702.935514,,26947406.000000,,17675.892836,,2661743.000000,,305.888563,,28242.813467,,0.104409,,0.232597,,116080.000000,,0.664104,,275.158949,
maskable_dqn__mask_true,maskable_dqn,True,35474,deeplearn_job_r70,-117552.848365,,31344200.000000,,116745.997443,,2369090.100000,,2220.779704,,127312.918073,,0.103155,,0.229803,,122010.000000,,0.680339,,545.783934,
maskable_dqn__mask_true,maskable_dqn,True,45765,deeplearn_job_r70,-2909.285252,,1663736.000000,,1756.368181,,49801.400000,,19.646012,,12323.288812,,0.117236,,0.261173,,100632.000000,,0.667591,,218.342782,
maskable_dqn__mask_true,maskable_dqn,True,57434,deeplearn_job_r70,-122957.204408,,27104656.000000,,54020.127204,,2566795.100000,,1090.188262,,64587.047834,,0.104933,,0.233764,,116144.000000,,0.668779,,374.826138,
maskable_dqn__mask_true,maskable_dqn,True,170797,deeplearn_job_r70,-304614.563335,,30842765.000000,,57807.242350,,1246657.416667,,833.538301,,68374.162980,,0.106528,,0.237318,,121599.000000,,0.671368,,396.722253,
maskable_dqn__mask_true,maskable_dqn,True,210169,deeplearn_job_r70,-68800.671899,,8305912.000000,,73754.855355,,668629.300000,,1438.215346,,84321.775985,,0.107614,,0.239738,,120952.000000,,0.673482,,424.125751,
maskable_dqn__mask_true,maskable_dqn,True,250564,deeplearn_job_r70,-38.985458,,31231.000000,,889.169134,,2392.600000,,5.074283,,11456.089764,,0.117236,,0.261173,,84842.000000,,0.667646,,200.123236,
maskable_ppo__mask_true,maskable_ppo,True,16843,deeplearn_job_r70,-41.074646,,31636.000000,,852.355397,,2249.600000,,3.631806,,11419.276027,,0.117236,,0.261173,,84619.000000,,4.762123,,609.056119,
maskable_ppo__mask_true,maskable_ppo,True,20603,deeplearn_job_r70,-41.457841,,31601.000000,,853.913126,,2289.900000,,3.652361,,11420.833756,,0.117236,,0.261173,,84613.000000,,4.843054,,616.626048,
maskable_ppo__mask_true,maskable_ppo,True,21095,deeplearn_job_r70,-41.329634,,31421.000000,,852.532534,,2335.400000,,3.652441,,11419.453164,,0.117236,,0.261173,,84572.000000,,4.776931,,608.326160,
maskable_ppo__mask_true,maskable_ppo,True,21385,deeplearn_job_r70,-40.670352,,31483.000000,,832.301804,,2277.000000,,3.646612,,11399.222435,,0.117236,,0.261173,,84450.000000,,5.137992,,642.503329,
maskable_ppo__mask_true,maskable_ppo,True,35474,deeplearn_job_r70,-42.631254,,31430.000000,,850.196636,,2203.400000,,3.673322,,11417.117267,,0.117236,,0.261173,,84598.000000,,4.799164,,611.898181,
maskable_ppo__mask_true,maskable_ppo,True,45765,deeplearn_job_r70,-40.068666,,31306.000000,,832.977382,,2258.100000,,3.644127,,11399.898013,,0.117236,,0.261173,,84471.000000,,4.823594,,612.876841,
maskable_ppo__mask_true,maskable_ppo,True,57434,deeplearn_job_r70,-40.439214,,31489.000000,,846.359721,,2216.200000,,3.643798,,11413.280351,,0.117236,,0.261173,,84525.000000,,4.848617,,616.564127,
maskable_ppo__mask_true,maskable_ppo,True,170797,deeplearn_job_r70,-40.558604,,31218.000000,,833.729170,,2297.100000,,3.676636,,11400.649800,,0.117236,,0.261173,,84510.000000,,5.271668,,660.238816,
maskable_ppo__mask_true,maskable_ppo,True,210169,deeplearn_job_r70,-41.021853,,31223.000000,,855.206469,,2329.000000,,3.628368,,11422.127100,,0.117236,,0.261173,,84625.000000,,5.204813,,656.206353,
