treatment_id,algorithm,use_masking,split_id,episode_reward_mean_mean,episode_reward_mean_std,max_waiting_mean_mean,max_waiting_mean_std,avg_waiting_mean_mean,avg_waiting_mean_std,max_slowdown_mean_mean,max_slowdown_mean_std,avg_slowdown_mean_mean,avg_slowdown_mean_std,avg_turnaround_mean_mean,avg_turnaround_mean_std,cpu_utilization_mean_mean,cpu_utilization_mean_std,gpu_utilization_mean_mean,gpu_utilization_mean_std,decision_count_mean_mean,decision_count_mean_std,decision_latency_mean_ms_mean_mean,decision_latency_mean_ms_mean_std,eval_wall_s_mean_mean,eval_wall_s_mean_std
a2c__mask_false,a2c,False,deeplearn_job_r70,-7712160.799754,2511342.945402,521772.600000,1552985.915543,4273.950173,10922.893121,41570.570000,123972.234238,66.553929,198.869660,14706.133696,10969.929915,0.115409,0.000925,0.255010,0.001355,620165.600000,275.595597,4.894816,0.441019,5022.233533,893.941525
dqn__mask_false,dqn,False,deeplearn_job_r70,-7777825.355497,2112099.603865,5263952.200000,10301904.551753,19328.046945,51265.246391,284036.347407,761632.009737,446.452616,1125.331345,29736.219111,51261.831829,0.115159,0.001700,0.254200,0.003643,620149.800000,282.729867,1.075108,1.378956,2508.804881,949.497731
maskable_a2c__mask_true,maskable_a2c,True,deeplearn_job_r70,-6874289.461467,21728676.351596,51687957.000000,161407893.465677,24520863.328339,77476701.079533,5128952.810000,16058567.293286,670447.127135,2118679.668601,24531430.248969,77476701.079533,0.105969,0.034918,0.236072,0.077789,132568.600000,139804.605307,5.064951,0.458727,1202.221063,1567.784836
maskable_dqn__mask_true,maskable_dqn,True,deeplearn_job_r70,-123448.091642,105432.864679,19003961.000000,12150301.979790,45728.781821,40335.465078,1182524.768333,1035356.421139,853.293001,810.960974,56295.702451,40335.465078,0.109517,0.005518,0.243977,0.012292,114423.700000,12200.535608,0.669219,0.006629,352.053768,117.097593
maskable_ppo__mask_true,maskable_ppo,True,deeplearn_job_r70,-40.813170,0.978524,31441.500000,153.325543,846.117693,9.352714,2260.730000,57.720188,3.641008,0.032198,11413.038323,9.352714,0.117236,0.000000,0.261173,0.000000,84563.100000,69.519701,4.966299,0.207317,629.070634,21.946975
ppo__mask_false,ppo,False,deeplearn_job_r70,-8515592.527451,20485.467398,30684.000000,0.000000,817.757444,8.820309,2290.900000,0.000000,3.664278,0.007162,11241.122461,24.837497,0.115830,0.000223,0.255876,0.000856,620277.800000,246.055911,4.736362,0.199888,4542.052075,857.552561
