metric_name,treatment_a,treatment_b,mean_rank_a,mean_rank_b,rank_diff,p_value,significant
max_slowdown,dqn__mask_false,ppo__mask_false,3.600000,4.050000,-0.450000,0.994624,False
max_slowdown,maskable_a2c__mask_true,maskable_dqn__mask_true,2.100000,6.000000,-3.900000,0.000046,True
max_slowdown,maskable_a2c__mask_true,maskable_ppo__mask_true,2.100000,1.600000,0.500000,0.991226,False
max_slowdown,maskable_a2c__mask_true,ppo__mask_false,2.100000,4.050000,-1.950000,0.181673,False
max_slowdown,maskable_dqn__mask_true,maskable_ppo__mask_true,6.000000,1.600000,4.400000,0.000002,True
max_slowdown,maskable_dqn__mask_true,ppo__mask_false,6.000000,4.050000,1.950000,0.181673,False
max_slowdown,maskable_ppo__mask_true,ppo__mask_false,1.600000,4.050000,-2.450000,0.039908,True
avg_turnaround,a2c__mask_false,dqn__mask_false,4.200000,4.400000,-0.200000,0.999894,False
avg_turnaround,a2c__mask_false,maskable_a2c__mask_true,4.200000,2.000000,2.200000,0.090215,False
avg_turnaround,a2c__mask_false,maskable_dqn__mask_true,4.200000,4.400000,-0.200000,0.999894,False
avg_turnaround,a2c__mask_false,maskable_ppo__mask_true,4.200000,1.800000,2.400000,0.047403,True
avg_turnaround,a2c__mask_false,ppo__mask_false,4.200000,4.200000,0.000000,1.000000,False
avg_turnaround,dqn__mask_false,maskable_a2c__mask_true,4.400000,2.000000,2.400000,0.047403,True
avg_turnaround,dqn__mask_false,maskable_dqn__mask_true,4.400000,4.400000,0.000000,1.000000,False
avg_turnaround,dqn__mask_false,maskable_ppo__mask_true,4.400000,1.800000,2.600000,0.023199,True
avg_turnaround,dqn__mask_false,ppo__mask_false,4.400000,4.200000,0.200000,0.999894,False
avg_turnaround,maskable_a2c__mask_true,maskable_dqn__mask_true,2.000000,4.400000,-2.400000,0.047403,True
avg_turnaround,maskable_a2c__mask_true,maskable_ppo__mask_true,2.000000,1.800000,0.200000,0.999894,False
avg_turnaround,maskable_a2c__mask_true,ppo__mask_false,2.000000,4.200000,-2.200000,0.090215,False
avg_turnaround,maskable_dqn__mask_true,maskable_ppo__mask_true,4.400000,1.800000,2.600000,0.023199,True
avg_turnaround,maskable_dqn__mask_true,ppo__mask_false,4.400000,4.200000,0.200000,0.999894,False
avg_turnaround,maskable_ppo__mask_true,ppo__mask_false,1.800000,4.200000,-2.400000,0.047403,True
cpu_utilization,a2c__mask_false,dqn__mask_false,4.700000,3.950000,0.750000,0.947485,False
cpu_utilization,a2c__mask_false,maskable_a2c__mask_true,4.700000,1.900000,2.800000,0.010603,True
cpu_utilization,a2c__mask_false,maskable_dqn__mask_true,4.700000,3.900000,0.800000,0.931561,False
cpu_utilization,a2c__mask_false,maskable_ppo__mask_true,4.700000,1.600000,3.100000,0.002897,True
cpu_utilization,a2c__mask_false,ppo__mask_false,4.700000,4.950000,-0.250000,0.999683,False
cpu_utilization,dqn__mask_false,maskable_a2c__mask_true,3.950000,1.900000,2.050000,0.139274,False
cpu_utilization,dqn__mask_false,maskable_dqn__mask_true,3.950000,3.900000,0.050000,1.000000,False
cpu_utilization,dqn__mask_false,maskable_ppo__mask_true,3.950000,1.600000,2.350000,0.056055,False
cpu_utilization,dqn__mask_false,ppo__mask_false,3.950000,4.950000,-1.000000,0.839370,False
cpu_utilization,maskable_a2c__mask_true,maskable_dqn__mask_true,1.900000,3.900000,-2.000000,0.159450,False
cpu_utilization,maskable_a2c__mask_true,maskable_ppo__mask_true,1.900000,1.600000,0.300000,0.999227,False
cpu_utilization,maskable_a2c__mask_true,ppo__mask_false,1.900000,4.950000,-3.050000,0.003633,True
cpu_utilization,maskable_dqn__mask_true,maskable_ppo__mask_true,3.900000,1.600000,2.300000,0.065990,False
cpu_utilization,maskable_dqn__mask_true,ppo__mask_false,3.900000,4.950000,-1.050000,0.809406,False
cpu_utilization,maskable_ppo__mask_true,ppo__mask_false,1.600000,4.950000,-3.350000,0.000882,True
episode_reward,a2c__mask_false,dqn__mask_false,4.700000,5.100000,-0.400000,0.996916,False
episode_reward,a2c__mask_false,maskable_a2c__mask_true,4.700000,1.200000,3.500000,0.000412,True
episode_reward,a2c__mask_false,maskable_dqn__mask_true,4.700000,3.000000,1.700000,0.324066,False
episode_reward,a2c__mask_false,maskable_ppo__mask_true,4.700000,1.800000,2.900000,0.006992,True
episode_reward,a2c__mask_false,ppo__mask_false,4.700000,5.200000,-0.500000,0.991226,False
episode_reward,dqn__mask_false,maskable_a2c__mask_true,5.100000,1.200000,3.900000,0.000046,True
episode_reward,dqn__mask_false,maskable_dqn__mask_true,5.100000,3.000000,2.100000,0.121073,False
episode_reward,dqn__mask_false,maskable_ppo__mask_true,5.100000,1.800000,3.300000,0.001127,True
episode_reward,dqn__mask_false,ppo__mask_false,5.100000,5.200000,-0.100000,0.999997,False
episode_reward,maskable_a2c__mask_true,maskable_dqn__mask_true,1.200000,3.000000,-1.800000,0.260953,False
episode_reward,maskable_a2c__mask_true,maskable_ppo__mask_true,1.200000,1.800000,-0.600000,0.979939,False
episode_reward,maskable_a2c__mask_true,ppo__mask_false,1.200000,5.200000,-4.000000,0.000026,True
episode_reward,maskable_dqn__mask_true,maskable_ppo__mask_true,3.000000,1.800000,1.200000,0.706032,False
episode_reward,maskable_dqn__mask_true,ppo__mask_false,3.000000,5.200000,-2.200000,0.090215,False
episode_reward,maskable_ppo__mask_true,ppo__mask_false,1.800000,5.200000,-3.400000,0.000687,True
decision_latency_mean_ms,a2c__mask_false,dqn__mask_false,3.800000,1.000000,2.800000,0.010603,True
decision_latency_mean_ms,a2c__mask_false,maskable_a2c__mask_true,3.800000,4.700000,-0.900000,0.891189,False
decision_latency_mean_ms,a2c__mask_false,maskable_dqn__mask_true,3.800000,2.000000,1.800000,0.260953,False
decision_latency_mean_ms,a2c__mask_false,maskable_ppo__mask_true,3.800000,4.600000,-0.800000,0.931561,False
decision_latency_mean_ms,a2c__mask_false,ppo__mask_false,3.800000,4.900000,-1.100000,0.777005,False
decision_latency_mean_ms,dqn__mask_false,maskable_a2c__mask_true,1.000000,4.700000,-3.700000,0.000142,True
decision_latency_mean_ms,dqn__mask_false,maskable_dqn__mask_true,1.000000,2.000000,-1.000000,0.839370,False
decision_latency_mean_ms,dqn__mask_false,maskable_ppo__mask_true,1.000000,4.600000,-3.600000,0.000244,True
decision_latency_mean_ms,dqn__mask_false,ppo__mask_false,1.000000,4.900000,-3.900000,0.000046,True
decision_latency_mean_ms,maskable_a2c__mask_true,maskable_dqn__mask_true,4.700000,2.000000,2.700000,0.015816,True
decision_latency_mean_ms,maskable_a2c__mask_true,maskable_ppo__mask_true,4.700000,4.600000,0.100000,0.999997,False
decision_latency_mean_ms,maskable_a2c__mask_true,ppo__mask_false,4.700000,4.900000,-0.200000,0.999894,False
decision_latency_mean_ms,maskable_dqn__mask_true,maskable_ppo__mask_true,2.000000,4.600000,-2.600000,0.023199,True
decision_latency_mean_ms,maskable_dqn__mask_true,ppo__mask_false,2.000000,4.900000,-2.900000,0.006992,True
decision_latency_mean_ms,maskable_ppo__mask_true,ppo__mask_false,4.600000,4.900000,-0.300000,0.999227,False
eval_wall_s,a2c__mask_false,dqn__mask_false,5.500000,4.000000,1.500000,0.470338,False
eval_wall_s,a2c__mask_false,maskable_a2c__mask_true,5.500000,2.500000,3.000000,0.004537,True
eval_wall_s,a2c__mask_false,maskable_dqn__mask_true,5.500000,1.000000,4.500000,0.000001,True
eval_wall_s,a2c__mask_false,maskable_ppo__mask_true,5.500000,2.500000,3.000000,0.004537,True
eval_wall_s,a2c__mask_false,ppo__mask_false,5.500000,5.500000,0.000000,1.000000,False
eval_wall_s,dqn__mask_false,maskable_a2c__mask_true,4.000000,2.500000,1.500000,0.470338,False
eval_wall_s,dqn__mask_false,maskable_dqn__mask_true,4.000000,1.000000,3.000000,0.004537,True
eval_wall_s,dqn__mask_false,maskable_ppo__mask_true,4.000000,2.500000,1.500000,0.470338,False
eval_wall_s,dqn__mask_false,ppo__mask_false,4.000000,5.500000,-1.500000,0.470338,False
eval_wall_s,maskable_a2c__mask_true,maskable_dqn__mask_true,2.500000,1.000000,1.500000,0.470338,False
eval_wall_s,maskable_a2c__mask_true,maskable_ppo__mask_true,2.500000,2.500000,0.000000,1.000000,False
eval_wall_s,maskable_a2c__mask_true,ppo__mask_false,2.500000,5.500000,-3.000000,0.004537,True
eval_wall_s,maskable_dqn__mask_true,maskable_ppo__mask_true,1.000000,2.500000,-1.500000,0.470338,False
eval_wall_s,maskable_dqn__mask_true,ppo__mask_false,1.000000,5.500000,-4.500000,0.000001,True
eval_wall_s,maskable_ppo__mask_true,ppo__mask_false,2.500000,5.500000,-3.000000,0.004537,True
